,genera,ps_zy,zy_rl,ps_rl
0,Acinetobacter,1.0,1.0,1.0
1,Anaerococcus,0.8637733842093749,0.4530721912554093,0.3236038354557639
2,Corynebacterium,0.30601921685051103,0.005863633187262442,0.05492997018896187
3,Cutibacterium,0.9860406404472006,0.9860406404472006,0.9676346083712113
4,Dermacoccus,0.21076570090866886,1.0,0.18903230244403513
5,Dietzia,1.0,0.4372185996250276,0.34211225261696365
6,Escherichia,1.0,1.0,1.0
7,Kocuria,1.0,1.0,1.0
8,Lactobacillus,0.29343839962785745,0.4915927065682336,0.6680367479956666
9,Lactococcus,1.0,1.0,1.0
10,Malassezia,0.7395448460163013,0.4731240038905673,0.5978625674290079
11,Micrococcus,0.4372185996250276,1.0,0.34211225261696365
12,Moraxella,0.7489793268128453,0.2681217903882488,0.37211616496314304
13,Peptoniphilus,0.7969014833786633,0.7969014833786633,1.0
14,Roseomonas,1.0,0.4372185996250276,0.34211225261696365
15,Rothia,0.8424475260424974,0.8424475260424974,0.896082116990302
16,Staphylococcus,0.031134663668839897,0.014862277198782088,0.507505297961912
17,Streptococcus,0.08074073348543416,0.019088214975795395,0.3766323807960562
18,Aerococcus,1.0,1.0,1.0
19,Bifidobacterium,0.4372185996250276,1.0,0.34211225261696365
20,Dialister,1.0,1.0,1.0
21,Enterococcus,0.4372185996250276,1.0,0.34211225261696365
22,Fannyhessea,0.4372185996250276,1.0,0.34211225261696365
23,Fusobacterium,0.4372185996250276,1.0,0.34211225261696365
24,Gardnerella,0.14492002671724424,1.0,0.08063104372594639
25,Hoylesella,0.4372185996250276,1.0,0.34211225261696365
26,Megasphaera,0.4372185996250276,1.0,0.34211225261696365
27,Metamycoplasma,1.0,1.0,1.0
28,Mobiluncus,0.4372185996250276,1.0,0.34211225261696365
29,Porphyromonas,0.4372185996250276,1.0,0.34211225261696365
30,Prevotella,0.2468165082178676,1.0,0.16258685072635493
31,Sneathia,0.4372185996250276,1.0,0.34211225261696365
