,Unnamed: 0,sample-id,undef_reads,bact_reads,euk_reads,totalreads,bad_class_reads,plate,well,original_plate,original_platelocation,date_processed,method,study,subject,source,sampletype,sample_dna,quadrant,sample_ct,lib_dna,lib_vol,perc_not_class
0,0,1,273,0,1122,19956,273,1,1,diluted_rl_plate,1,20240401,readylyse_dil,lowbiomass,0,air,air,0.021417862,none,23.54,6.668899308,2.5,1.3680096211665664
1,1,10,87,0,1167,6909,87,1,10,diluted_rl_plate,10,20240401,readylyse_dil,lowbiomass,8,leg,swab,0.133504676,d,24.19,2.438044206,7.0,1.2592270950933566
5,5,103,2180,4,46,20256,2184,2,7,powersoil_elution,7,20240418,powersoil,lowbiomass,1,leg,swab,0.029977303,b,,5.524670685,3.1,10.781990521327014
6,6,104,867,0,5,7786,867,2,8,powersoil_elution,8,20240418,powersoil,lowbiomass,2,leg,swab,-0.002141236,a,26.965,1.863139094,9.1,11.135371179039302
7,7,105,693,0,0,4197,693,2,9,powersoil_elution,9,20240418,powersoil,lowbiomass,3,leg,swab,0.019271123,d,22.1,1.67336459,10.2,16.51179413867048
8,8,106,869,0,435,7955,869,2,10,powersoil_elution,10,20240418,powersoil,lowbiomass,4,leg,swab,0.040683483,c,21.045,2.281759321,7.5,10.92394720301697
9,9,107,2243,2,1005,32356,2245,2,11,powersoil_elution,11,20240418,powersoil,lowbiomass,5,leg,swab,0.002141236,b,22.855,2.320830543,7.3,6.938434911608357
10,10,108,804,31,98,31944,835,2,12,powersoil_elution,12,20240418,powersoil,lowbiomass,6,leg,swab,0.004282472,a,23.655,23.36347399,0.7,2.6139494114700725
11,11,109,2573,54,1228,66073,2627,2,13,powersoil_elution,13,20240418,powersoil,lowbiomass,7,leg,swab,0.017129887,d,22.665,6.479124805,2.6,3.9759054379247196
12,12,11,878,0,1018,16536,878,1,11,diluted_rl_plate,11,20240401,readylyse_dil,lowbiomass,9,leg,swab,0.117798244,c,24.11,3.007367716,5.7,5.3096274794388
13,13,110,1306,2,501,21026,1308,2,14,powersoil_elution,14,20240418,powersoil,lowbiomass,8,leg,swab,0.023553595,c,22.265,6.267023889,2.7,6.220869399790735
14,14,111,829,9,637,58401,838,2,15,powersoil_elution,15,20240418,powersoil,lowbiomass,9,leg,swab,0.027836067,b,21.815,6.155391829,2.8,1.4349069365250595
15,15,112,4256,11,19,19004,4267,2,16,powersoil_elution,16,20240418,powersoil,lowbiomass,10,leg,swab,0.032118539,a,21.26,2.728287564,6.2,22.45316775415702
16,16,113,2194,54,20,20757,2248,2,17,powersoil_elution,17,20240418,powersoil,lowbiomass,11,leg,swab,0.085649437,d,20.67,3.398079929,5.0,10.830081418316713
17,17,114,1107,4,618,31905,1111,2,18,powersoil_elution,18,20240418,powersoil,lowbiomass,12,leg,swab,0.023553595,c,23.315,4.240901987,4.0,3.4822128193073185
18,18,115,2216,9,1436,36372,2225,2,19,powersoil_elution,19,20240418,powersoil,lowbiomass,13,leg,swab,0.188428761,b,22.27,2.761777182,6.2,6.117343011107446
19,19,116,802,0,881,8570,802,2,20,powersoil_elution,20,20240418,powersoil,lowbiomass,14,leg,swab,0.957132457,a,20.22,1.751507033,9.7,9.358226371061845
20,20,117,330,0,521,4549,330,2,21,powersoil_elution,21,20240418,powersoil,lowbiomass,15,leg,swab,0.012847416,d,23.055,1.293815584,13.1,7.254341613541437
21,21,118,804,0,966,11259,804,2,22,powersoil_elution,22,20240418,powersoil,lowbiomass,16,leg,swab,0.019271123,c,21.475,2.259432909,7.5,7.140953903543831
22,22,119,371,3,148,17116,374,2,23,powersoil_elution,23,20240418,powersoil,lowbiomass,17,leg,swab,0.087790673,b,23.885,2.343156955,7.3,2.185089974293059
23,23,12,611,4,534,16485,615,1,12,diluted_rl_plate,12,20240401,readylyse_dil,lowbiomass,10,leg,swab,0.054258585,b,22.64,6.032596562,2.8,3.7306642402183803
24,24,120,4483,31,1498,120255,4514,2,24,powersoil_elution,24,20240418,powersoil,lowbiomass,18,leg,swab,-0.004282472,a,25.05,8.890377316,1.9,3.753690075256746
25,25,121,1312,0,72,9821,1312,2,25,powersoil_elution,25,20240418,powersoil,lowbiomass,19,leg,swab,0.025694831,d,23.635,6.451216789,2.6,13.359128398330109
26,26,122,807,0,12,10692,807,2,26,powersoil_elution,26,20240418,powersoil,lowbiomass,20,leg,swab,-0.002141236,c,26.24,3.024112525,5.6,7.547699214365881
27,27,123,1141,4,47,22956,1145,2,27,powersoil_elution,27,20240418,powersoil,lowbiomass,23,leg,swab,0.025694831,b,23.475,1.796159857,9.5,4.987802753092873
28,28,124,1696,0,6,8443,1696,2,28,powersoil_elution,28,20240418,powersoil,lowbiomass,0,buffer,buffer,-0.006423708,none,26.245,1.74592543,9.7,20.087646571124008
31,31,127,4783,31,66,170356,4814,2,31,powersoil_elution,31,20240418,powersoil,lowbiomass,0,mock1,discard contaminated,0.777268639,none,,11.88769815,1.4,2.825847049707671
32,32,128,1310,0,3,11744,1310,2,32,powersoil_elution,32,20240418,powersoil,lowbiomass,0,mock2,lm_mock,0.092073145,none,18.62,3.202723822,5.3,11.154632152588556
33,33,129,377,0,0,2439,377,2,33,powersoil_elution,33,20240418,powersoil,lowbiomass,0,mock3,lm_mock,0.0,none,22.67,1.17660192,14.4,15.457154571545715
34,34,13,959,99,43,19800,1058,1,13,diluted_rl_plate,13,20240401,readylyse_dil,lowbiomass,11,leg,swab,0.152066824,a,21.055,8.097789685,2.1,5.343434343434343
35,35,130,993,0,41,6232,993,2,34,powersoil_elution,34,20240418,powersoil,lowbiomass,0,mock4,lm_mock,-0.004282472,none,25.065,1.98593436,8.6,15.933889602053917
36,36,131,2405,30,7,42479,2435,2,35,powersoil_elution,35,20240418,powersoil,lowbiomass,1,forehead,swab,0.149886514,b,19.65,4.123688323,4.1,5.732244167706396
37,37,132,1283,2,49,31302,1285,2,36,powersoil_elution,36,20240418,powersoil,lowbiomass,2,forehead,swab,0.066378314,a,21.68,12.22817593,1.4,4.10516899878602
38,38,133,4716,13,210,65463,4729,2,37,powersoil_elution,37,20240418,powersoil,lowbiomass,3,forehead,swab,0.064237078,d,20.39,4.00647466,4.2,7.223928020408475
39,39,134,1108,4,20,17489,1112,2,38,powersoil_elution,38,20240418,powersoil,lowbiomass,4,forehead,swab,0.158451458,c,18.385,8.968519759,1.9,6.358282348905026
40,40,135,1240,7,1025,36660,1247,2,39,powersoil_elution,39,20240418,powersoil,lowbiomass,5,forehead,swab,0.038542247,b,21.985,3.280866265,5.2,3.4015275504637206
41,41,136,2369,0,11,11179,2369,2,40,powersoil_elution,40,20240418,powersoil,lowbiomass,6,forehead,swab,0.019271123,a,24.095,1.706854209,10.0,21.191519813936846
42,42,137,2238,3,8,34573,2241,2,41,powersoil_elution,41,20240418,powersoil,lowbiomass,7,forehead,swab,0.124191683,d,19.355,4.224157178,4.0,6.481936771469066
43,43,138,1558,0,29,22594,1558,2,42,powersoil_elution,42,20240418,powersoil,lowbiomass,8,forehead,swab,0.096355616,c,19.805,4.441839696,3.8,6.895636009560061
44,44,139,4775,0,123,50805,4775,2,43,powersoil_elution,43,20240418,powersoil,lowbiomass,9,forehead,swab,0.284784378,b,18.84,4.6316142,3.7,9.398681232162188
45,45,14,1464,0,6,5562,1464,1,14,diluted_rl_plate,14,20240401,readylyse_dil,lowbiomass,12,leg,swab,0.00571143,d,24.055,1.455682072,11.7,26.321467098166128
46,46,140,1359,0,4,16856,1359,2,44,powersoil_elution,44,20240418,powersoil,lowbiomass,10,forehead,swab,0.068519549,a,19.83,2.588747488,6.6,8.062411010915994
47,47,141,1299,0,5,7942,1299,2,45,powersoil_elution,45,20240418,powersoil,lowbiomass,11,forehead,swab,0.017129887,d,22.685,2.013842376,8.4,16.356081591538654
48,48,142,2696,5,7,21340,2701,2,46,powersoil_elution,46,20240418,powersoil,lowbiomass,12,forehead,swab,0.211982356,c,18.715,4.804643894,3.5,12.656982193064668
49,49,143,1839,0,23,21203,1839,2,47,powersoil_elution,47,20240418,powersoil,lowbiomass,13,forehead,swab,0.068519549,b,21.75,3.727394508,4.6,8.67330094797906
50,50,144,923,13,126,33986,936,2,48,powersoil_elution,48,20240418,powersoil,lowbiomass,14,forehead,swab,0.036401011,a,20.725,28.11341817,0.6,2.754075207438357
51,51,145,3156,88,3967,143021,3244,2,49,powersoil_elution,49,20240418,powersoil,lowbiomass,15,forehead,swab,0.070660785,d,22.685,8.259656173,2.1,2.268198376462198
52,52,146,879,0,985,9479,879,2,50,powersoil_elution,50,20240418,powersoil,lowbiomass,16,forehead,swab,0.027836067,c,23.455,4.352534048,3.9,9.273130077012343
53,53,147,852,0,1110,34404,852,2,51,powersoil_elution,51,20240418,powersoil,lowbiomass,17,forehead,swab,0.156310222,b,22.89,4.363697254,3.9,2.4764562260202303
54,54,148,3137,3,41,35850,3140,2,52,powersoil_elution,52,20240418,powersoil,lowbiomass,18,forehead,swab,0.132756627,a,19.93,6.707970529,2.5,8.758716875871688
55,55,149,1789,0,32,16460,1789,2,53,powersoil_elution,53,20240418,powersoil,lowbiomass,19,forehead,swab,0.359727635,d,21.975,4.905112748,3.5,10.868772782503038
